Company,Role,Tech,Base salary,Remote,When
Goto,EM,,2.2-2.4,remote,2025
Wizzair,EM,,2.2-2.4,onsite,2025
Aumovio,Release Train Engineer,,2.45,onsite,2025
Lightware,EM,C++,2.3-2.4,hybrid,2025
Aumovio,PM,,2.3,onsite,2025
NNG,Head of Department,,2.7,hybrid,2025
SAP,EM,AI,2.5-3.0,hybrid,2026
Formlabs,EM,C++,2.5-3.6,hybrid,2026
Formlabs,EM,Devops,2.5-3.6,hybrid,2026
Cloudera,EM,AI,2.5,hybrid,2026
HAYS salary guide,EM,,2.0-2.5,,2026
Quanloop,Head of Engineering,Java,2.3-3.5,onsite,2026
SecretSauce,Director,Java,1.7-2.8,hybrid,2026
iTRON,Senior Program Manager,,2.3-2.9,hybrid,2026
SnapSoft,Head of AI Service Line,AI,3.3,mostly remote,2026
SnapSoft,EM,fullstack,1.9-2.6,mostly remote,2026
?,Head of IT Delivery,,2.3-2.6,hybrid,2026
Volteum,Engineering Lead,,2.2-2.7,hybrid,2026
? (Fox HR),Head of Engineering,,2.5-4.0,hybrid,2026
ABBYY,EM,AI,2.0-2.6,remote,2026
Percona,Senior EM,,3.5,remote,2026
Aliz,Director,AI,2.2,hybrid,2026
Telio,Release Train Engineer,,2.2,hybrid,2026
Larkin Lane Films,Senior R&D Project Manager,AI,2.2-3.0,onsite,2026
Veeva,Team Manager,,1.75-3.0,remote,2026
ALDI,Senior Team Leader,,1.9,hybrid,2026
Lightware,EM,Full stack,2.3,hybrid,2026
SEON,Director,,3.25-4.4,hybrid,2026
Arm,Team Lead,Embedded Release Automation,1.8-2.3,hybrid,2026
Matrix,Head of Engineering,,2.4-3.1,remote,2026
Hawk-Eye,Delivery Manager,,1.5-2.2,hybrid,2026
Siemens Energy,(Lead) Project Manager,AI Transformation,2.5-3.1,hybrid,2026
Tesco,EM,Platform Engineering,2.6,hybrid,2026
